Ders Kodu,Ders Adı,Teo.,Lab.,Kredi,AKTS
IE 348,Marketing Engineering,3,0,3,5
IE 374,Supply Chain Management,3,0,3,5
IE 391,Industry Applications I,3,0,3,5
IE 392,Industry Applications II,3,0,3,5
IE 393,Industry Applications III,3,0,3,5
IE 394,Industry Applications IV,3,0,3,5
IE 396,High-Tech Product Development I,3,0,3,5
IE 398,High-Tech Product Development II,3,0,3,5
IE 495,High-Tech Product Development III,3,0,3,5
IE 496,High-Tech Product Development IV,3,0,3,5
IE 412,Network Optimization,3,0,3,5
IE 414,Advanced Linear Programming,3,0,3,5
IE 415,Discrete Math,3,0,3,5
IE 416,Nonlinear Programming,3,0,3,5
IE 417,Heuristic Methods in Optimization,3,0,3,5
IE 418,Discrete Optimization,3,0,3,5
IE 422,Advanced Simulation,3,0,3,5
IE 425,System Dynamics,3,0,3,5
IE 426,Data Mining,3,0,3,5
IE 442,Operations Analysis and Design,3,0,3,5
IE 446,Supply Chain Economics,3,0,3,5
IE 448,International Marketing Tool: Turquality,3,0,3,5
IE 449,Financial Engineering,3,0,3,5
IE 454,Sustainable Energy Systems,3,0,3,5
IE 455,Green Buildings,3,0,3,5
IE 456,Operations Research in Sustainability,3,0,3,5
IE 457,Operations Research Applications in Energy Systems,3,0,3,5
IE 458,Smart Transportation Systems,3,0,3,5
IE 459,Smart Cities,3,0,3,5
IE 461,Manufacturing Processes,3,0,3,5
IE 462,Lean Manufacturing,3,0,3,5
IE 463,Disaster and Emergency Management,3,0,3,5
IE 464,Operations Research Models in Disaster Management,3,0,3,5
IE 465,Operations Research and Homeland Security,3,0,3,5
IE 466,Vulnerability and Resilience,3,0,3,5
IE 467,Critical Infrastructure Planning,3,0,3,5
IE 472,Production Planing and Scheduling,3,0,3,5
IE 474,Humanitarian Logistics,3,0,3,5
IE 475,Facility Layout and Location,3,0,3,5
IE 476,Logistics Engineering,3,0,3,5
IE 477,Inventory Models,3,0,3,5
IE 478,Scheduling,3,0,3,5
IE 482,Economics of Healthcare,3,0,3,5
IE 484,Optimization Models in Health Care,3,0,3,5
IE 486,Healthcare Operations Management,3,0,3,5
IE 488,Healthcare Policy Analysis,3,0,3,5
IE 489,Optimization in Medicine and Biology,3,0,3,5
IE 499,Industry 4.0,3,0,3,5
