Ders Kodu,Ders Adı,Teo.,Lab.,Kredi,AKTS
IE 348,Marketing Engineering,3,0,3,5
IE 351,Project Management,3,0,3,5
IE 353,Strategic Management,3,0,3,5
IE 358,Ergonomics,3,0,3,5
IE 374,Supply Chain Management,3,0,3,5
IE 391,Industry Applications I,3,0,3,5
IE 392,Industry Applications II,3,0,3,5
IE 415,Discrete Optimization,3,0,3,5
IE 416,Nonlinear Programming,3,0,3,5
IE 417,Heuristic Methods in Optimization,3,0,3,5
IE 425,System Dynamics,3,0,3,5
IE 448,International Marketing Tool: Turquality,3,0,3,5
IE 454,Sustainable Energy Systems,3,0,3,5
IE 461,Manufacturing Systems,3,0,3,5
IE 462,Lean Manufacturing,3,0,3,5
IE 464,Operations Research Models in Disaster Management,3,0,3,5
IE 472,Production Planning and Scheduling,3,0,3,5
IE 474,Humanitarian Logistics,3,0,3,5
IE 475,Facility Layout and Location,3,0,3,5
IE 486,Healthcare Operations Management,3,0,3,5
IE 494,Industry 4.0,3,0,3,5
,,,,,
,,,,,
Ders Kodu,Ders Adı,Teo.,Lab.,Kredi,AKTS
MATH 205,Differential Equations,3,0,3,5
IE 402,Discrete Mathematics,3,0,3,5
IE 415,Discrete Optimization,3,0,3,5
IE 416,Nonlinear Programing,3,0,3,5
