Kategori,Ders Kodu,Ders Adı,Ön Koşul,Teori,Lab.,Kredi,AKTS,Bölüm içi/Bölüm dışı seçmeli
General Transfer Seçmelileri,BAG491,General Transfer Elective 1,,3,0,3,3,Bölüm Dışı seçmeli
General Transfer Seçmelileri,BAG492,General Transfer Elective 2,,3,0,3,4,Bölüm Dışı seçmeli
General Transfer Seçmelileri,BAG493,General Transfer Elective 3,,3,0,3,4,Bölüm Dışı seçmeli
General Transfer Seçmelileri,BAG494,General Transfer Elective 4,,3,0,3,4,Bölüm Dışı seçmeli
Exchange Transfer Seçmelileri,BA491,Exchange Transfer Elective 1,,3,0,3,5,Bölüm içi Seçmeli
Exchange Transfer Seçmelileri,BA492,Exchange Transfer Elective 2,,3,0,3,5,Bölüm içi Seçmeli
Exchange Transfer Seçmelileri,BA493,Exchange Transfer Elective 3,,3,0,3,5,Bölüm içi Seçmeli
Bölüm İçi Diğer Seçmeli Dersler,BA352,Sustainable Tourism,,3,0,3,5,Bölüm içi Seçmeli
Bölüm İçi Diğer Seçmeli Dersler,BA409,Tax Law and Turkish Tax Law System,,3,0,3,5,Bölüm içi Seçmeli
Bölüm İçi Diğer Seçmeli Dersler,BA430,Tourism Management,,3,0,3,5,Bölüm içi Seçmeli
Bölüm İçi Diğer Seçmeli Dersler,BA453,Corporate Law,,3,0,3,5,Bölüm içi Seçmeli
Bölüm İçi Diğer Seçmeli Dersler,BA460,Entrepreneurship for Engineers and Scientists,,3,0,3,5,Bölüm içi Seçmeli
Bölüm İçi Diğer Seçmeli Dersler,BA463,Volunteerism,,3,0,3,5,Bölüm içi Seçmeli
Bölüm İçi Diğer Seçmeli Dersler,BA473,Turkish Labor Law,,3,0,3,5,Bölüm içi Seçmeli
Sayısal Yöntemler Alanındaki Seçmeli Dersler,BA426,Project Management,,3,0,3,5,Bölüm içi Seçmeli
Sayısal Yöntemler Alanındaki Seçmeli Dersler,BA433,Supply Chain Management,,3,0,3,5,Bölüm içi Seçmeli
Sayısal Yöntemler Alanındaki Seçmeli Dersler,BA434,Decision Making,,3,0,3,5,Bölüm içi Seçmeli
Sayısal Yöntemler Alanındaki Seçmeli Dersler,BA437,Business Analytics,,3,0,3,5,Bölüm içi Seçmeli
Sayısal Yöntemler Alanındaki Seçmeli Dersler,BA441,Quality Management,,3,0,3,5,Bölüm içi Seçmeli
Sayısal Yöntemler Alanındaki Seçmeli Dersler,BA442,Data Models and Decisions,BA 208,3,0,3,5,Bölüm içi Seçmeli
