Semester,Code,Name,T,A,AC,ECTS,Ön Şart
1st sem.,PSYC111,Orientation I: Uni. Life & Sci. World,0,1,1,1,
1st sem.,PSYC101,Essential Topics in Psychology I,3,0,3,5,
1st sem.,PSYC103,Research Methods in Psychology,4,0,4,8,
1st sem.,PSYG,Cognate course,3,0,3,5,
1st sem.,ENG 101,English I,4,0,4,4,
1st sem.,TURKXXX,Listed Turkish Language Course,2,0,2,2,
1st sem.,GLB101,AGU Ways,3,0,3,4,
,Total,,19,1,20,29,
,,,,,,,
2nd sem.,PSYC104,Statistics for Psychology,4,2,5,10,
2nd sem.,PSYC102,Essential Topics in Psychology II,3,0,3,5,
2nd sem.,PSYG,Cognate course,3,0,3,5,
2nd sem.,ENG102,English II,4,0,4,4,
2nd sem.,TURKXXX,Listed Turkish Language Course,2,0,2,2,
2nd sem.,GLB,Global Issues Elective,3,0,3,4,
2nd sem.,CP100,Career Planning,0,1,1,1,
,Total,,19,3,21,31,
,,,,,,,
3rd sem.,PSYFXXX,Fundamental Clusters - lecture,5,0,5,10,
3rd sem.,PSYFXXX,Fundamental Clusters - lecture,5,0,5,10,
3rd sem.,GLB,Global Issues Elective,3,0,3,4,
3rd sem.,PSYG,Cognate course,3,0,3,5,
3rd sem.,HISTXXX,Listed Hist. of the Rep. of Turkey course,2,0,2,2,
,Total,,18,0,18,31,
,,,,,,,
4th sem.,PSYFXXX,Fundamental Clusters - lecture,5,0,5,10,
4th sem.,PSYFXXX,Fundamental Clusters - lecture,5,0,5,10,
4th sem.,PSYC112,Orientation II: Professional Development,0,2,2,3,
4th sem.,HISTXXX,Listed Hist. of the Rep. of Turkey course,2,0,2,2,
4th sem.,GLB,Global Issues Elective,3,0,3,4,
,Total,,15,2,17,29,
,,,,,,,
5th sem.,PSYLXXX,Fundamental Cluster - lab,0,5,5,10,
5th sem.,PSYSXXX,Departmental seminar,3,0,3,5,
5th sem.,PSYEXXX,Departmental elective,3,0,3,5,
5th sem.,PSY3N,Non-Departmental elective,3,0,3,3,
5th sem.,PSY3N,Non-Departmental elective,3,0,3,3,
5th sem.,GLB,Global Issues Elective,3,0,3,4,
,Total,,12,5,17,30,
,,,,,,,
6th sem.,PSYLXXX,Fundamental Cluster - lab,0,5,5,10,
6th sem.,PSYSXXX,Departmental seminar,3,0,3,5,
6th sem.,PSYC114,Ethics in Psychology,3,0,3,5,
6th sem.,PSYEXXX,Departmental elective,3,0,3,5,
6th sem.,PSYEXXX,Departmental elective,3,0,3,5,
,Total,,12,5,17,30,
,,,,,,,
7th sem.,PSYEXXX,Departmental elective,3,0,3,5,
7th sem.,PSYEXXX,Departmental elective,3,0,3,5,
7th sem.,PSYEXXX,Departmental elective,3,0,3,5,
7th sem.,PSYEXXX,Departmental elective,3,0,3,5,
7th sem.,PSY5N,Non-departmental elective,3,0,3,5,
7th sem.,PSYU,Unrestricted elective,3,0,3,5,
,Total,,18,0,18,30,
,,,,,,,
8th sem.,PSYEXXX,Departmental elective,3,0,3,5,
8th sem.,PSYEXXX,Departmental elective,3,0,3,5,
8th sem.,PSYEXXX,Departmental elective,3,0,3,5,
8th sem.,PSY5N,Non-departmental elective,3,0,3,5,
8th sem.,PSYU,Unrestricted elective,3,0,3,5,
8th sem.,PSYU,Unrestricted elective,3,0,3,5,
,Total,,18,0,18,30,
